id,signal,execs,time_ms,size,sha256,exit_code,asan_type,classification,top_frame,top_symbol,locations,filename
000012,06,270211,97836,4,055539df4a0b804c58caf46c0cd2941af10d64c1395ddd8e50b5f55d945841e6,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000012,sig:06,src:000076,time:97836,execs:270211,op:havoc,rep:1"
000013,11,405817,146855,6,6d741b146801696dd35e34575e778730f06b2ec4bb5ccee13166f36c0761a55a,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000013,sig:11,src:000044,time:146855,execs:405817,op:havoc,rep:1"
000014,06,464155,167659,65,dc277a78fd0ad3a47e660b38ca03627da7d0dbd5aea74445994e23797de228a4,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000014,sig:06,src:000368,time:167659,execs:464155,op:havoc,rep:9"
000015,11,1288322,470247,12,d28049c2ed4940f3c5301e7728917d9a05442bdf79796ef47ed7284fcb29b5bb,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000015,sig:11,src:000009,time:470247,execs:1288322,op:havoc,rep:2"
000016,11,1824172,666257,17,e36d29867b5424bb8edacd90a266a7c717d999bc8a3e5ccc7d0b504eb02c43d7,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x116647) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_value_free at /src/fuzzgoat.c:258,json_value_free at /src/fuzzgoat.c:258; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99,"id:000016,sig:11,src:000441,time:666257,execs:1824172,op:havoc,rep:16"
000017,06,2329289,878260,68,8d0ac85fce60726fb5aaab4a1a45c5ee9e04198aa99522655f9d30ade5f763c2,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000017,sig:06,src:000643,time:878260,execs:2329289,op:havoc,rep:1"
000018,06,2354991,899195,91,a9995043464b764c50e782bc78789720af4d922e3974c5e8c324a40f82a9ab48,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000018,sig:06,src:000645,time:899195,execs:2354991,op:havoc,rep:2"
000019,06,3367177,1337605,319,d19b8dc69dab70a8da6f0a49ab29f77e33287b8a470326989f7cc6e1d27ee02e,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000019,sig:06,src:000723,time:1337605,execs:3367177,op:havoc,rep:1"
000020,06,4139146,1636988,68,b57cbf38cb56b4b5599694347239f75edb8839217f89060f73095d1c7c648f8a,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000020,sig:06,src:000646,time:1636988,execs:4139146,op:havoc,rep:2"
000021,06,4863267,1918100,115,5051c9e695c9739595ba278cd0c6692dc365e9d0e852c9a54919649d6bb0d511,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000021,sig:06,src:000656,time:1918100,execs:4863267,op:havoc,rep:1"
