id,signal,execs,time_ms,size,sha256,exit_code,asan_type,classification,top_frame,top_symbol,locations,filename
000042,11,38598685,15312609,2140,a75dc1fe8769328e038459afdb79bebe491e656ab5bcf2f6067728f954517223,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000042,sig:11,src:000809,time:15312609,execs:38598685,op:havoc,rep:8"
000043,11,41873905,16623770,837,45406f39fc8d6bfae77561d0dcadbb0dd0ee5801ce73d0233a6e5444b8be4a26,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000043,sig:11,src:000808,time:16623770,execs:41873905,op:havoc,rep:2"
000044,11,42117162,16721590,712,716f4d2374f114b96b219fb5516d395a06e9a8ede0e960191c6371ab42b08f99,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000044,sig:11,src:000808,time:16721590,execs:42117162,op:havoc,rep:28"
000045,06,43276041,17189397,559,90dc01f0414f3279448e3b96ffd8e43d80abdbe5117efde02e5193fc1560c48b,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000045,sig:06,src:000828,time:17189397,execs:43276041,op:havoc,rep:2"
000046,11,43337028,17214999,844,b71bb958be2054ca44be5636d54245b68f5794f08fa44400e829e8c400890b1d,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000046,sig:11,src:000809,time:17214999,execs:43337028,op:havoc,rep:2"
000047,06,45436531,18057514,892,8cf17dc9ac96ac5dd101222d3fb545158fb8d93e69415fe3b6be3122dbe9d4ce,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000047,sig:06,src:000832,time:18057514,execs:45436531,op:havoc,rep:2"
000048,06,46123677,18327246,701,f57e73633d5924005b2524f89d34f2f63ad355f40e7ef924ddf330528546fcb9,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000048,sig:06,src:000822,time:18327246,execs:46123677,op:havoc,rep:4"
000049,06,47884377,19028446,203,9c04fd90ddb3efedb03bb81f91d74e6730c59b9260484b16c69ae8c632f2d8b9,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000049,sig:06,src:000650,time:19028446,execs:47884377,op:havoc,rep:2"
000050,06,48410629,19239962,21,51656b0aae21556d0a353a5512ced5e05f529267d49cacb439ba35d4e5544d4d,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000050,sig:06,src:000423,time:19239962,execs:48410629,op:havoc,rep:3"
000051,06,74772844,29807242,467,66ff8bf2fd8cca92fa78128f11175b6bd0c70f2708b7b5db76d57967f2ef3826,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000051,sig:06,src:000827,time:29807242,execs:74772844,op:havoc,rep:5"
000052,11,80132254,31973461,26,8841f60cda1f8b8ea8e92187da3a7946dafa6909cd87cea1ecdf9a7bf08ab06b,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000052,sig:11,src:000032,time:31973461,execs:80132254,op:havoc,rep:2"
000053,11,91112804,36396448,810,cac4c80893fb68e706d9108da6517ce7b6053f1a0eb9bc721816ea19d7165307,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000053,sig:11,src:000808,time:36396448,execs:91112804,op:havoc,rep:1"
000054,06,99231779,39687130,205,8cf87bc8e4eb5c4deecb72adb79bf204c73190a42bdf1090895930c99d6f3ea4,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000054,sig:06,src:000827,time:39687130,execs:99231779,op:havoc,rep:2"
000055,06,126575324,50775276,1086,a1805f3cc91fd28e52af83dbd50f94e056688f1931fb91957f71ede1398145f1,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000055,sig:06,src:000827,time:50775276,execs:126575324,op:havoc,rep:1"
000056,11,127525122,51149343,863,80d02144d701bb4ad49eacc794a0a149dce3b8eea935b903b1cc1736c48c2cfc,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000056,sig:11,src:000809,time:51149343,execs:127525122,op:havoc,rep:5"
000057,11,135004691,54155147,1027,582ed135cc47971f1cc0722d62b1d5e29bbbdd068762ba99873c7ef08ae3e1ff,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000057,sig:11,src:000809,time:54155147,execs:135004691,op:havoc,rep:2"
000058,11,143611558,57582381,810,683068bb5971bdf701d64f360b37cb746e1a8654916be08c2dc1d4cd1a175f7c,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000058,sig:11,src:000808,time:57582381,execs:143611558,op:havoc,rep:3"
000059,06,150651250,60379906,5,89e4e8db07b8aa0967ab6f415103ac6b831f45b6b7b80f3c0fcbf6bfad71f7e1,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000059,sig:06,src:000772,time:60379906,execs:150651250,op:havoc,rep:2"
000060,11,172333378,69035134,303,589e24f20e342d352409a09bb3cf04adeb5d5ce285ddb099983fb33c66be0fb6,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000060,sig:11,src:000827,time:69035134,execs:172333378,op:havoc,rep:1"
000061,06,174142806,69759174,738,860c014859a479fdb373d88771459445c04ab2e6433c74e113417e2622d10ea6,1,attempting,invalid-free / bad-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0xccffa) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),default_free at /src/fuzzgoat.c:85,default_free at /src/fuzzgoat.c:85; main at /src/main.c:166; new_value at /src/fuzzgoat.c:99; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156,"id:000061,sig:06,src:000830,time:69759174,execs:174142806,op:havoc,rep:4"
000062,06,192274338,76990758,458,fbf7d641662d985afe75ff641bd1d5c08e4aef3f02d5fe19f6af43dbab53ac4f,1,heap-use-after-free,heap-use-after-free,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x114961) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),json_parse_ex at /src/fuzzgoat.c:643,json_parse_ex at /src/fuzzgoat.c:643; json_parse at /src/fuzzgoat.c:1073; main at /src/main.c:156; new_value at /src/fuzzgoat.c:137; new_value at /src/fuzzgoat.c:99,"id:000062,sig:06,src:000827,time:76990758,execs:192274338,op:havoc,rep:3"
000063,11,212511865,85130559,1574,59ed846943b3ba927a72f9d0bd34b62dd872e8ac478402ba359832ccaf1e0deb,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000063,sig:11,src:000847,time:85130559,execs:212511865,op:havoc,rep:15"
000064,11,212909714,85290031,1355,1e6a0a7620177984aa888916c0210cbbc96e75c4d699cbdf8d6a15a71de6a18f,1,heap-buffer-overflow,heap-buffer-overflow,(/root/codex_final_fuzzstudy_0606/513558007-Fuzzing-Study/fuzzgoat_ASAN+0x4da4a) (BuildId: e9c752000637e5054a2d38b8a89a1c1d6b08c082),main at /src/main.c:150,main at /src/main.c:150; main at /src/main.c:129,"id:000064,sig:11,src:000849,time:85290031,execs:212909714,op:havoc,rep:3"
